Francais,Nufi
Il n'a pas plu depuis.,Mbàk kɑ̀' lō fhʉ̄ līē'.
Il n'a pas plu hier.,Mbàk kɑ̀ sì lō wāhà.
Il ne fait pas beau aujourd'hui.,Nzɑ̄ kɑ̀' pé' zě'è.
Il neige.,Vhʉ́mbǎk mɑ̀mfī'.
"Il pleut à verse, il pleut drument. Il pleut des cordes.",Mbǎk mɑ̀ncāt tōō. Mʉ̄ɑ̄ zɑ́' mbǎk mɑ̀ndō.
"Il pleut ici, c'est la saison pluvieuse.","Mbǎk mɑ̀ndō séè, ntìē'sēē béè."
Il pleut.,Mbǎk mɑ̀ndō.
Il s'est arrêté de pleuvoir.,Mbǎk cwàà.
Il va pleuvoir.,Mbǎk ìndō.
Il vente ici/le vent souffle ici.,Fʉ̀fùá séé nshʉ́'.
Il y a des éclairs.,Pʉ̀pɑ́' mbǎk kòndʉ́'sí.
"Il y a du brouillard, le temps est brumeux.",Ndùàlɑ̌ fí'.
"Il y a du soleil ici, il fait soleil ici.",Nǎm séé ntʉ̄ɑ̄.
Le vent fait ployer les arbres et les herbes.,Fùfùá mɑ̀nnám nthʉ̄ píá mvēnɑ̀.
Il y a une tempête.,Mʉ̄ɑ̄ fùfùá mɑ̀nshʉ́'. Hǎ'mbǎk kòmvīātsī.
La pluie n'a pas cessé depuis ce matin.,Mbàk kɑ̀' cwáá fhʉ̄ fɑ́hnzɑ́ è(bɑ̄).
Le ciel est dégagé.,Nzɑ́ kòndʉ́'sí.
Le ciel est nuageux.,Nzɑ́ sēn. Ndùɑ̀lɑ̌/ndùàlɑ̌ fí'.
Le soleil brille.,Nǎm mɑ̀ntʉ̄ɑ̄. Nǎm kòntʉ̄ɑ̄.
Le soleil est réapparu.,Nǎm pàt ntō' mbʉ́ɑ́/làh tʉ̄ɑ̄.
On dirait qu'il va pleuvoir.,Yáá mɑ̀mfōh pɑ́' mbǎk ìndō lɑ́.
Quel temps/saison fait-il chez vous?,Yàā ntìē'nzɑ̄ béé wú pèn?
Quelle belle journée!,Mǒ' mbə̀' līē'/líé'nzɑ̄ mbɑ̀!
Quelle température fait-il?,Fōh nzɑ́ mvàk lāhā?
Chapitre 14. Sensations.,"Nzâknù 14. Yú'nā, yú'mbʉ̄ɑ̄, nzhìè."
"À la fin de ce chapitre, vous serez en mesure de dire à quelqu'un comment vous vous sentez, en langue fè'éfě'è.",Ǒ ìndī' mèhsǐ béé sìèsì lè mɑ̀ ǒ kù'sì làh nsōk wèn mvàk yì ǒ mɑ̀njū' nā ó pó ó lɑ́ mɑ̀ ghə̀ə̄lɑ̄'.
As-tu chaud?,Zʉ̌' mɑ̀ndóm ō ó?
As-tu faim?,Nzhìèkú' mɑ̀nkō ō ó?
As-tu froid?,Fóh mɑ̀nkō ō ó?
As-tu soif?,Nzhìè nshǐ mɑ̀nkō ō ó?
As-tu sommeil?,Lóh zɑ́h ó?
Es-tu content?,Nǔ mɑ̀mbə́' ō ó?
Es-tu fâché?,Ǒ mɑ̀njā'nthʉ̄ ʉ́? Nǔ mɑ̀mbɑ̄h ō ó?
Es-tu fatigué(e)?,Ǒ púá á?
Il fait chaud.,Zʉ̌' mɑ̀ndóm.
Il fait froid.,Fóh mɑ̀nkō.
Il faut que je me repose.,Yáá ncāk mɑ́ ń nhwīēsī nā à.
Il faut que tu te reposes.,Yáá ncāk mɑ́ ó hwīēsī nā ò.
J'ai envie de vomir.,Ngɑ̌ mɑ̀nkwé' làh ndʉ̄'.
J'ai faim.,Nzhìèkú' mɑ̀nkō ā.
"J'ai la nausée, j'ai un haut-le-cœur.",Nthʉ̄ á kòmbénsí.
J'ai soif.,Nzhìè nshǐ mɑ̀nkō ā.
J'ai sommeil.,Lóh zɑ́h à.
J'ai tellement chaud.,Zʉ̌' mɑ̀ndóm ā tɑ̀'.
J'ai tellement froid.,Fóh mɑ̀nkō ā tɑ̀'.
Je suis content.,Nǔ mɑ̀mbə́' ā.
Je suis fâché.,Ngɑ̌ mɑ̀njā'nthʉ̄.
Je suis fatigué.,Ngɑ̌ púá.
Je suis rassasié.,Ngɑ̌ víát.
Je veux aller à la selle.,Nzhìè làh nní mɑ̀nkō ā.
Veux-tu dormir?,Ǒ mɑ̀nkə́' làh ndīē έ?
Veux-tu faire les selles? Veux-tu aller à la selle? Veux-tu chier?,Ǒ mɑ̀nkwé' làh nní í?
Veux-tu te reposer?,Ǒ mɑ̀nkə́'/mɑ̀ncāk làh nhwīēsī nā ó?
Veux-tu uriner? Veux-tu faire pipi?,Ǒ mɑ̀nkwé' làh nsíí í?
Chapitre 15. Compassion.,Nzâknù 15. Nǔ cə́ə́nzèn.
"À la fin de ce chapitre, vous serez en mesure d'envier quelqu'un lorsqu'il est chanceux, ou de compatir à sa douleur en cas de malheur, en langue fè'éfě'è.","Ǒ ìndī' mèhsǐ béé sìèsì lè mɑ̀ ǒ kù'sì làh ngʉ́ɑ́'sí wèn ntìè' yì zīī zǐ léé lɑ́, lɑ̄ ncə̄ə̄ nzěn wèn ntìè' yì nǔ ghʉ̀ ī lɑ́."
Compatir.,Nkō cə́ə́ nù.
"Je ne t'envie pas, plutôt toi que moi, je n'aimerais pas être à ta place, je suis mieux.",Mbhì bɑ́ mʉ̀.
"Tu es mieux(familièrement mieux de toi, je souhaiterais être à ta place).",Mbhì bɑ́ wò.
Je souhaiterais être à ta place.,Wɑ̄ lāh ā ngʉ́ ō?
Tu es chanceux!,Zīī zǒ léé! Ǒ mɑ́ mbə̀'zīī.
Tu n'as pas de chance!,Zīī zǒ kɑ̀' lēē bɑ̄! Ǒ mɑ́ ngà'pɑ́hzīī!
"Je te plains, j'ai pitié de toi.",Ngɑ̌ mɑ̀ncə̄ə̄ mō. Túfhù zǒ mɑ̀nkō ā.
Ne t'en fais pas.,Ǒ sì cə̄ə̄(bɑ̄).
Mon mari est décédé.,Ndū á cāk lò kīkēē(kūɑ̄).
Mes condoléances mon cher ami.,Cə̄ə̄ ngwāh tènmvàk sēn à.
Mes condoléances. Litt. l'être humain est voué au malheur.,Nù sǐ' nnʉ́ɑ́ wènòk ngʉ́ kǎmthʉ̄ bɑ̄.
Sa femme est morte.,Nzhwīē í kūɑ̄.
C'est terrible!,Nù tɑ̀'! Nù bɑ́ mbɑ̀!
"Le pauvre, pauvre de lui!","Mbâ'ngə̀', mīàngwè'."
Elle revient de l'enterrement de son enfant.,Ǎ mɑ̀mfhʉ́ tōk mēn ì.
La pauvre!,"Nzhwīē à ngwè', ngòò ā ngwè'."
Quel malheur!,Kɑ́ ntīē ndòò béè! Kɑ́ ntīē pɑ́hzīī béè!
Quelle malchance!,Kɑ́ ntīē pɑ́hzīī béè!
Je vais le/la consoler.,"Ngɑ̌ ngén cwāh nshǐnɑ̄h mǐ, ngɑ̌ ngén sēnsī ī."
"Chapitre 16. Etat d'âme, humeur.","Nzâknù 16. Nshʉ̀ɑ̄ wèn, nshǐnā."
"À la fin de ce chapitre, vous serez en mesure de décrire votre état d'âme, votre humeur, en langue fè'éfě'è.","Ǒ ìndī' mèhsǐ béé sìèsì lè mɑ̀ ǒ kù'sì làh nsōk wèn mvàk yì nshǐnā ò, lɑ̄ nshʉ̀ɑ̀ mǒ lǎh mbɑ̄ lɑ́."
Je suis content.,"Ngɑ̌ mɑ̀ncá'sí, nǔ mɑ̀mbé' ā."
Je suis fâché.,"Ngɑ̌ mɑ̀njā'nthʉ̄, nǔ mɑ̀mbɑ̄h ā."
Je suis triste parce que je n'ai pas réussi l'examen.,Ngɑ̌ mɑ̀mmwēn mbī'tū mɑ́ ǹ kɑ̀' tōh làksì.
Je ris parce que mon mari me chatouille.,Ngɑ̌ mɑ̀nzhwíé mbī'tū mɑ́ ndū á mɑ̀nŋá'sí ā.
C'est une chose abominable.,Sìàní nù bɑ́.
Tu me fais peur!,Ǒ mɑ̀nhá'sí ā!
Ça m'effraye.,Yáá mɑ̀nhá'sí ā.
Ça m'intimide.,Yáá mɑ̀nját lā.
"Ne m'intimide plus, ne me fais plus du chantage.",Ǒ sì īmbát nját lā.
Ça me fait peur.,Yáá mɑ̀nnāk póh nɑ́ à.
"J'ai peur, j'ai très peur.","Ngɑ̌ mɑ̀mbōh, ngɑ̌ mɑ̀mbōh tɑ̀'."
Cette affaire me tracasse.,Nù lɑ́ mɑ̀nzɑ́hsí ā!
J'ai tellement pris peur.,Ngɑ̌ póh tɑ̀'.
Je me fais du souci pour ma fille.,Ngɑ̌ mɑ̀ncə̄ə̄ mēn à.
Je n'ai pas le courage de…,Ǹ kɑ̀' ghʉ́ mbǎ'ntām làh…
Je ne suis pas du tout inquiet.,Ǹ sī mɑ̀mbōh mbɑ̀ nèhē bɑ̄.
Je suis un peu tranquille maintenant.,Nthʉ̄ á nɑ̄' nkōmsī/mbūāsī ntìé'è.
Je ne suis pas tranquille depuis l'autre jour.,Nthʉ̄ ā kɑ̀' kōmsī mfhʉ̄ líé'mō'.
Je suis mort(e) de peur!,Ngɑ̌ kúɑ́ pōh!
L'ascenseur me fait peur.,Ngɑ̌ mbōh nkō'vʉ̀.
Nous sommes effrayés!,Pɑ̌h mɑ̀mbōh!
Nous sommes très inquiets.,Pɑ̌h mɑ̀mbōh tɑ̀'.
Qu'est-ce que tu m'as fait peur!,"Ǒ ghʉ̀ ngɑ̀ pōh, ǒ ghʉ̀ m̀ mbōh!"
N'ayez peur de rien.,Pěn sì pōh sə̀ə̄wū.
Il y a eu plus de peur que de mal.,Ngɑ̌ póh nù nèhē. Ǒ sì yū' tùm ndēn mɑ́ ngáá zhìè. Mbàk kɑ̌ nzhʉ́' tɑ̀' lɑ́ sǐ' ndō bɑ̄.
"Chapitre 17. Indignation, colère.",Nzâknù 17. Yá'nthʉ̄.
"À la fin de ce chapitre, vous serez en mesure d'exprimer votre colère en langue fè'éfě'è.","Ǒ ìndī' mèhsǐ béé sìèsì lè mɑ̀ ǒ zhí làh ngə́ə́ mbí wèn mɑ́ ó mɑ̀njā'nthʉ̄, lɑ̄ mɑ́, ǒ yá'nthʉ̄."
Fous le camp! Dégage!,Fhʉ̄ sáá ndó!
Ôte-toi de ma vue!,Fhʉ̄ nɑ́ nɑ̄h mǎ ndó!
Gourmand! Glouton!,Nzhìnzhìè! Nzɑ̂nkōmó'/Nzɑ̄nkómó'!
"Allez, tais-toi!",Zhʉ̄ɑ̄' nshù ō! Lā' nshù ō!
Taisez-vous!,Pèn zhʉ̄ɑ̄' nshù yēē! Pèn lā' nshù yēē!
Vaurien!,Wūnèhē(pl. Zūnèhē)!
Je vais te frapper là-bas!,Ngɑ̌ ìnzáb ó sáá! Ngɑ̌ ìndə̄ə̄ nsā' mǒ sáá!
Je vais te fouetter!,Ngɑ̌ ìmvēn ō!
Espèce d'idiot!,Nkìnkèn mó' wū!
Tu es très idiot/stupide!,Ǒ nkíkén tɑ̀'!
Ne fais plus jamais ça!,Ǒ sì īmbát ngʉ́ yāā sə̀ə̄līē'!
Tu vas encore faire ça?,Ǒ ìmbát ngʉ́ fà'á á?
N'essaye plus jamais!,Ǒ sì īmbát lɑ̄' mfʉ́ɑ́'!
Qui es-tu pour me parler ainsi?,Ǒ mɑ́ wɑ̄(Ò bɑ̄ wɑ̄) tɑ̄ mɑ̄ ngə́ə́ mbú á fà'á ā?
Je ne vais plus jamais essayer!,Ǹ sī ìmbát lɑ̄'mfʉ́ɑ́' bɑ̄!
Je ne vais plus jamais faire ça!,Ǹ sī ìmbát lɑ̄'ngʉ́ fà'á sə̀ə̄līē' bɑ̄!
"S'il te plait pardonne-moi, ne te fâche pas.","Cīcō'ò lɑ̀hsì ā lɑ́, ǒ sì yā'nthʉ̄ bɑ̄."
Ça suffit!,Yáá kù'!
C'est la dernière fois.,Ndèhsì yáá kù' fà'á.
C'est affreux!,Yáá sìànì!
C'est insupportable!,Mbɑ́ wěn lɑ̀ fēnsī(nzhī)!
C'est le comble!(Se dit de ce qui dépasse tout ce que l'on pourrait imaginer.),Yáá tōh ndhʉ̀! Yáá tōh fʉ̀ɑ̀'! Yáá yɑ̄' nkɑ̄'!
C'est révoltant!,Yáá mɑ́ wú yá'nthʉ̄! Wú yá'nthʉ̄ bɑ́!
C'est scandaleux!,Wú túfhù bɑ́! Nǔ túfhù bɑ́! Yáá mɑ́ túfhù!
C'est une honte!,Yáá mɑ́ túfhù!
Ça alors!,Hɔ̌ bɑ̂! Ŋ̌h Kɑ̀cɔ̀! Kɑ̀cɔ̀ nɑ̀ tǐ'! Ŋ̄h mbɑ̀ ɑ̄ ɑ̄!
Ça dépasse les limites!,Yáá tōh ndhʉ̀! Yáá tōh fhʉ̀ɑ̀'! Yáá shʉ̀ɑ̀sì!
Comment vais-je résoudre ce problème?,Ngɑ̌ ìndɑ́' béé nù lè mɑ̀ lāhā nɑ̀?
Il y a des limites à tout!,Mbɑ̀ kɑ́ lɑ́ mbɑ̄ mɑ̀ yáá ghʉ̌ ndhʉ̀!
Je dis hein? Qu'est-ce qu'il y a?,Mɑ́ mbɑ̀! Nǔ kɑ́ bɑ́ ɑ̄?
Je suis fâché(e) contre toi!,Ngɑ̌ mɑ̀njā'nthʉ́ mbú ò!
Je suis indigné(e)!,Ngɑ̌ mɑ̀njā'nthʉ̄!
J'étais fâché(e) contre toi!,Ǹ dɑ̀yá'nthʉ́ mbú ò!
Mais qu'est-ce que c'est encore que ça?,Kɑ́ ntīē nù bɑ̄ pǎt mbɑ̄ lè?
Mêle-toi de tes affaires.,Lɑ̌' yò nù kɑ́ nɑ́ ó lɑ́ nnʉ́ɑ́ yà.
Où allons-nous à cette allure?,Pɑ̌h mbɑ̄ lè mɑ̄ngén mɑ̀ hɑ̄?
Qu'est-ce que je vais faire maintenant?,Ngɑ̌ ìngʉ́ mɑ̀ lāhā ntìé'ě nɑ̀!
Quelle honte!,Kɑ́ ntīē túfhù béè! Yēē mǒ' nǔtúfhù mbɑ̀!
Qu'est-ce que c'est que cette histoire?,Kɑ́ ntīē nù béè!
"Tu as exagéré, tu as débordé la ligne!",Ǒ tóh ndhʉ̀! Ǒ yɑ́' nkà'!
Quand c'est trop c'est laid!,Yáá mbhī sʉ̄sə̄ə̄ nzhīē mbǒ lìì! Yáá mbhī sʉ̄sə̄ə̄ nhə́'sí!
Chapitre 18. Expression de regret.,"Nzâknù 18. Ghə̀ə̄ cə̄ə̄, ghə̀ə̄ yóknā."
"À la fin de ce chapitre, vous serez en mesure d'exprimer votre regret en langue fè'éfě'è.",Ǒ ìndī' mèhsǐ béé sìèsì lè mɑ̀ ǒ zhí làh njōknā ó nɑ́ wū.
"À mon grand regret, je ne peux pas vous admettre dans mon entreprise parce qu'il n'y a plus de siège vacant.","Yáá mɑ̀ngát lā tɑ̀', tɑ́' mbɑ́ ń dɑ̀ láh ó zʉ̌'mfɑ̌' mbú à mbī'tū mɑ́ zʉ̀' sī yǎt sīē bɑ̄."
C'est dommage de parler à ses parents sans respect.,Yáá mɑ́ túfhù làh ngə́ə́ mbí mbɑ̄' pí mɑ̄ ā wèn sì nkù'nì.
"C'est dommage, c'est fâcheux, c'est regrettable.",Yáá mɑ́ mʉ̄ɑ̄ pīē.
C'est grand dommage pour moi. Litt. c'est une grande perte pour moi.,Yáá mɑ́ ghɑ̀' píé mbú à.
Dommage que…,Yáá mɑ́ ghɑ̀' pīē mɑ́… Yáá mɑ́ túfhù mɑ́…
J'aurais dû faire mon travail à temps.,M̀ fhʉ̌ nzhī mɑ̀ ngɑ̌ fɑ̌' mfɑ̀' ma᷅ mɑ̀ ndɑ̀h/ntìè'.
J'aurais dû rester encore un peu.,Ngɑ̌(fhʉ́)mɑ̄ ìmbát nɑ̄' sī. M̀ fhʉ̌nzhī mɑ̀ ngɑ̌ pàt nɑ̄' nsī.
J'aurais mieux fait de lui dire.,Ngɑ̌(fhʉ́)mɑ̄ ìnsōk ī. M̀ fhʉ̌nzhī mɑ̀ ngɑ̌ sók ī. Pá' nzhī mɑ̀ ngɑ̌ sók ī.
Je le regrette.,Ngɑ̌ mɑ̀ncə̄ə̄ yāā. Ngɑ̌ mɑ̀ndáh njōknā à.
Je regrette mes fautes.,Ngɑ̌ mɑ̀njōknā á nɑ́ nhèè mā.
Je regrette mon argent que j'ai dépensé.,Ngɑ̌ mɑ̀ncə̄ə̄/ngé' nkɑ̄ɑ̄ bà yì ngɑ̌ mbɑ̄psī lɑ́.
Je regrette mon temps perdu.,Ngɑ̌ mɑ̀ncə̄ə̄ ndɑ̀h yì ngɑ̌ mbīē lɑ́.
Je regrette.,Ngɑ̌ mɑ̀njōknā à.
Je le fais à regret.,"Ngɑ̌ mɑ̀ngʉ́ pí yá'nthʉ̄, ngɑ̌ mɑ̀ngʉ́ sì kə̀', ngɑ̌ mɑ̀mmíé ngʉ́."
"Malheureusement, l'occasion est perdue.",Yáá mɑ́ túfhù mɑ́ fén tōh nshʉ́ɑ́ sì ǹ nhōò.
Oh là là!,Hɔ̌ bɑ̂! Yéé nhɔ̀'!
Quel dommage!,Ghɑ̀' pīē!
"Se repentir, avoir des remords.","Njōknā, ncə̄ə̄, njóó, mfīnjòò."
S'en mordre les doigts! Regretter qqch.,Ncə̄ə̄ wū.
"S'en vouloir, avoir des remords.","Ncə̄ə̄, njōknā."
Si j'avais su!,M̀ fhʉ̌nzhī… m̀ fhʉ̌ tɑ̀ nzhī… Pá' nzhī…
Chapitre 19. Déception et désespoir.,Nzâknù 19. Yú'sìpə̀' pí púánkhù.
"À la fin de ce chapitre, vous serez en mesure d'exprimer votre déception et désespoir en langue fè'éfě'è.",Ǒ ìndī' mèhsǐ béé sìèsì lè mɑ̀ ǒ zhí làh ndɑ́'sí mɑ́ nǔ mɑ̀ngát lō tɑ̀ ò mɑ̄ncāk làh mbūā nkhù.
Ce n'est pas ce que j'espérais.,Sī wū yì ngɑ̌ mɑ̄mbīɑ̄ nā á nā lɑ́ béé bɑ̄.
Ce n'est pas ce que je voulais.,Sī wū yì ngɑ̌ mɑ̄nkə́' lɑ́ béé bɑ̄.
Déception.,"Ngǎngà, yú'sìpə̀'."
Désespoir.,Púánkhù.
Espoir.,Kwà'mbīɑ̄.
Il faut désespérer.,"Pūānkhù, wɑ̄' hù."
Il/elle a désespéré.,Ǎ púánkhù.
J'ai abandonné tout espoir.,"Ngɑ̌ púánkhù, ngɑ̌ wɑ́' hù."
J'ai perdu tout espoir.,"Ngɑ̌ púánkhù, ngɑ̌ wɑ́' hù."
J'attendais mieux.,Ngɑ̌ fhʉ́mbɑ̄ mɑ̀mbīɑ̄ nshʉ́ɑ́ fě'è.
J'ai été déçu(e).,"Ngɑ̌ yú' sìpə̀'/sìpè', ngɑ̌ fíí."
Je n'ai plus aucun espoir.,Ǹ sī yǎt kòmbīɑ̄ sə̀ə̄wū bɑ̄.
Je n'espère plus rien.,Ǹ sī yǎt kònsāh nā á nɑ́ sə̀ə̄wū bɑ̄.
Je ne sais plus quoi faire!,Ǹ kɑ̀' pát nzhī wū yì ngɑ̌ ìngʉ́ lɑ́!
Je suis déçu(e).,"Ngɑ̌ mɑ̀njū' sìpə̀'/sìpè', ngɑ̌ mɑ̀mfīī."
Je suis triste.,Ngɑ̌ mɑ̀mmwēn.
Ma femme m'a trahi.,Nzhwīē á zǎknjǎm à.
Mon enfant m'a mis en colère.,Mēn ǎ hɑ̄ ā yá'nthʉ̄.
Mon mari m'a trahi.,Ndū á zǎknjǎm à.
Ne compte jamais sur quelqu'un.,Ǒ sì lɑ̄' nsāh nɑ́ wèn sə̀ə̄līē'.
Ne compte pas sur lui.,Ǒ sì sāh nɑ́ ì.
"Ne désespère pas, n'abandonne pas.",Ǒ sì pūānkhù.
Pourtant(alors que) je comptais sur lui.,Tɑ́ mɑ̀ ngɑ̌ fhʉ́mbɑ̄ mɑ̀nsāh nɑ́ ì.
Quelle déception!,Kɑ́ ntīē yú'sìpə̀'/ngǎngà béè!
Sa femme l'a trahi.,Nzhwīē í zǎknjǎm ì.
Son mari l'a trahie.,Ndū í zǎknjǎm ì.
Ton mari te trompe.,Ndū ó mɑ̀mfʉ́ɑ́ ō.
Tu m'as trompé.,"Ǒ fʉ̀ɑ̀ ā, ǒ táásí ā."
Chapitre 20. Expressions d'étonnement.,Nzâknù 20. Ghə̀ə̀ ntìè' yì nǔ shʉ̀ɑ̄ wèn lɑ́.
"À la fin de ce chapitre, vous serez en mesure d'exprimer votre étonnement en langue fè'éfě'è.",Ǒ ìndī' mèhsǐ béé sìèsì lè mɑ̀ ǒ zhí làh ndɑ́'sí mɑ́ nǔ shʉ̀ɑ̀ ō.
Ah bon?,Fà'á á? Ndéndēē é?
C'est ahurissant!,Yáá mɑ́ shʉ̀ɑ́nù! Yáá mɑ́ kɑ̀cɔ̀ nù!
C'est curieux. C'est bizarre!,Yáá mǒ'ntīē! Yáá mɑ̀nshʉ́ɑ́ ā.
C'est incroyable!,Yáá mɑ́ shʉ̀ɑ́nù! Mɑ̀ mbɑ́ wěn lɑ̀ pēn!
C'est inimaginable!,Wūsìkwà' bɑ́! Mɑ̀ mbɑ́ wěn lɑ̀ kwá'!
C'est une énorme surprise pour moi!,Yáá mɑ́ tɑ̀' shʉ̀ɑ́nǔ mbú à tɑ̀'!
Ça alors!,Yéé yà wɑ̄ lɑ̄ ē ē! Kɑ̀cɔ̀! Hɔ̌ bɑ̂!
Ça m'a assis! Ça m'a enfoncé!,Yáá tʉ̄ɑ̄ á sīē!
Ça me surprend beaucoup!,Yáá mɑ̀nshʉ́ɑ́ ā tɑ̀'!
Ce n'est pas possible!,Mbɑ́ yáá lɑ̀ bɑ̄ ndéndēē!
Ce n'est pas vrai!,Sī ndéndēē bɑ́ bɑ̄! Ǹ kɑ̀' pēn bɑ̄! Pɑ́ ń dɑ̀ pēn bɑ̄!
C'est vrai? Vraiment?,Ndéndēē é?
Dieu est témoin!,"Mbóó zhī, Síé zhī béé nù lè!"
J'en perds la parole!,Nǔ mìē nshǔ à! Ghə̀ə́ mìē nshǔ à!
Je crois rêver!,Ngɑ̌ kwà' mɑ́ ngɑ̌ mɑ̀njēē nzhʉ̀ʉ̀!
"Je m'attendais à tout, sauf à ça!","Ngɑ̌ fhʉ́mbɑ̄ kòmbīɑ̄ nā á nɑ́ nkwèè wū, tɑ́' sī béé bɑ̄!"
Je n'arrive pas à croire que mon frère est mort!,Ǹ sī mɑ̀mbēn mɑ́ mēmmɑ̄ ǒ kúɑ́ bɑ̄!
Je n'aurais jamais imaginé que ma femme me trahirait.,Ǹ dɑ̀ sì bɑ̄ mɑ̀ mbɑ́ ǹ nkwā'sī tɑ̀' līē' mɑ́ mbɑ́ nzhwīē ā zāknjǎm à.
Je n'en reviens pas!,Ǹ sī mɑ̀mbēn bɑ̄!
Je ne m'attendais pas à ça!,Ǹ kɑ̀' fhʉ̄mbɑ̄ mɑ̀mbīɑ̄ nā á nā!
Je perds la tête!,Tū á mɑ̀ngwɑ̄' fōh!
Je suis bouche bée!,Nǔ mìē nshǔ à! Ngɑ̌ lá'!
"Je suis très étonné(e), je suis très surpris!",Nǔ mɑ̀nshʉ́ɑ́ ā tɑ̀'!
Mince alors!,Hɔ̌ bɑ̂! Kɑ̀cɔ̀! Kɑ̀cɔ̀ nɑ̀ tǐ'! Yéé yà wɑ̄ lɑ̄ ē ē! Yēē nhɔ̀'!
Qu'est-ce que tu me chantes là?,Kɑ́ ó kònjɔ́ ɔ̄? Kɑ́ ó kònjwáá ā? Kɑ́ ó kòmbū'sī?
Quoi? Comment?,Kɑ́ lī?
Sans blague! Sérieusement?,Ndéndēē é?
Seigneur!,Nshʉ̀ɑ̀pʉ̀!
Tu m'étonnes!,Ngʉ̌nù mǒ mɑ̀nshʉ́ɑ́ ā tɑ̀'!
Chapitre 21. Questions sur l'état de santé.,Nzâknù 21. Mbʉ́ɑ́ làh ntə́'sí mvàk yì wèn lǎh mbɑ̄ ntèn lɑ́.
"À la fin de ce chapitre, vous serez en mesure de poser des questions sur l'état de santé de quelqu'un en langue fè'éfě'è.",Ǒ ìndī' mèhsǐ béé sìèsì lè mɑ̀ ǒ zhí mbʉ́ɑ́ làh ntə́'sí yì mɑ̀ wěn ntèn lɑ́.
As-tu mal?,Nā ó mɑ̀njā' á?
Comment ça va?,Yáá mɑ̀ lāhā?
Comment te sens-tu?,Ǒ mɑ̀njū' nā ò mɑ̀ lāhā?
Comment va ta mère?,Mɑ̄ é mɑ̀ lāhā?
Comment va ta santé?,Nā ó mɑ̀ lāhā?
Comment vas-tu?,Yáá mɑ̀ lāhā? Ǒ mɑ̀ lāhā?
De quoi souffres-tu?,Kɑ́ bɑ́ mɑ̀ngʉ́ ō? Kɑ́ bɑ́ mɑ̀nzɑ́hsí ō?
Es-tu bien portant(e)? Es-tu en forme?,Ǒ ntěn? Tɑ̀ ǒ ntèn? Tɑ̀ ǒ shwīto᷆k?
Es-tu malade?,Ǒ mɑ̀ngóó ú?
Quel est ton poids?,Ǒ nzát mvàk lāhā? Zǎtnā ó mvàk lāhā? Mvǎk zǎtnā ó lāhā?
Quelle taille fais-tu? Quelle est ta taille? Combien mesures-tu?,Nthínā ó mvàk lāhā? Ǒ sàh mvàk lāhā?
Qu'est-ce que tu as?,Kɑ́ bɑ́ mɑ̀ngʉ́ ō?
Qu'est-ce qui ne va pas?,Nǔ kɑ́(bɑ́ ɑ̄)? Kɑ́ bɑ́ mɑ̀ngát lō ō?
Qu'est-ce qui t'arrive?,Kɑ́ bɑ́ mɑ̀ngʉ́ ō?
Qu'est-ce qui t'est arrivé?,Kɑ́ bɑ̄ ngʉ̀ ō?
Te sens-tu bien?,Ǒ shwīto᷄k?
Te sens-tu mieux?,Tɑ̀ yáá nɑ̄' ngʉ́ ʉ̀? Tɑ̀ yáá hɑ̄ pō ò?
T'est-il arrivé quelque chose?,Wú ghʉ̀ ō kāhā?
Tu ne te sens pas bien?,Nā ō sī mɑ̀mbə́' bɑ̄ í?
Tu t'es fait mal?,Ǒ lʉ́ʉ́ ʉ́?
Veux-tu te reposer?,Ǒ mɑ̀nkə́'/mɑ̀ncāk làh nhwīēsī nā ó?
Y a-t-il quelque chose qui ne va pas?,Nǔ síé é? Wú mɑ̀ngát lō ó? Nǔ mɑ̀ngát lō kāhā?
Chapitre 22. Réponses sur l'état de santé.,Nzâknù 22. Pɑ̌' tə̀'sínǔ nɑ́ mbʉ́ɑ́ làh njū' nā wèn.
"À la fin de ce chapitre, vous serez en mesure de répondre aux questions sur votre état de santé en langue fè'éfě'è.","Ǒ ìndī' mèhsǐ béé sìèsì lè mɑ̀ ǒ zhí mbʉ́ɑ́ làh mbɑ́' tə̀'sínǔ wèn, ntìè' yì ǎ tè'sì ō mvàk yì ǒ mɑ̀ndáh njū' nā ó pó ó lɑ́."
Aïe! Ça fait mal!,Ǎyì! Yáá mɑ̀njā'!
C'est très douloureux.,Yáá mɑ̀njā' tɑ̀'.
Il faut que je me repose.,Yáá ncāk mɑ́ ń nhwīēsī nā à.
Il faut que tu te reposes.,Yáá ncāk mɑ́ ó hwīēsī nā ò.
"J'ai 1, 65 m.","Ngɑ̌ sàh mvǎk tɑ̀' mɑ̀', mbìè ncɔ̀ tî mɑ̀ mʉ̄ntòhō. Nthínā á tɑ̀' mɑ̀', mbìè ncɔ̀ tî mɑ̀ mʉ̄ntòhō."
J'ai attrapé un rhume.,Mɑ̄ŋú cāb ā.
J'ai des douleurs.,Nā á mɑ̀njā'.
J'ai des maux de têtes.,"Tū á mɑ̀nkóm ā, ngɑ̌ ghʉ̌ yá'tū."
J'ai des problèmes de santé. Je ne me sens pas en forme.,Nā ā sī mɑ̀mbə́' bɑ̄.
J'ai envie de vomir.,Ngɑ̌ mɑ̀nkwé' làh ndʉ̄'.
J'ai fait un accident.,Ngɑ̌ lʉ́ʉ́.
"J'ai fait une chute, je suis tombé.",Ngɑ̌ támsíé.
